board_id,circuit_number,program_name,component_number_name,pin_id,component_id,terminal_id,segment_id,address,connector_type,class,angle,start_x,start_y,end_x,end_y,output_path,prediction,probability,model,threshold,error,date,time
E12191603350000188081,C230101,TEST,813100-27600730,1,2280,659,2,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0952900610\Region02280.png,1,0,180,7,112,58,28,C:\HACARUS\result\VT-S730-2169\20260202\952900610\2280-659.png,0,0.061856527,11,0.2,0,2026.02.02,8:12
E12191603350000188081,C170301,TEST,944102-07000730,2,2396,898,2,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0952900610\Region02396.png,1,0,0,169,17,115,70,C:\HACARUS\result\VT-S730-2169\20260202\952900610\2396-898.png,1,0.591727506,11,0.2,0,2026.02.02,8:12
E12191603350000188081,C520401,TEST,954473-03240730,1,2527,1163,2,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0952900610\Region02527.png,1,0,180,8,79,38,22,C:\HACARUS\result\VT-S730-2169\20260202\952900610\2527-1163.png,1,0.99999962,11,0.2,0,2026.02.02,8:12
E32191606060Z00003332,R250601,219160-6060P,922104-07050730,1,801,961,4,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0952910536\Region00801.png,1,0,180,7,78,23,15,C:\HACARUS\result\VT-S730-2169\20260202\952910536\801-961.png,1,0.888038574,11,0.2,0,2026.02.02,10:57
E32191605340T00042492,R560201,219160-5340P,922103-07630730,1,313,957,2,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0952912116\Region00313.png,1,0,180,7,116,50,31,C:\HACARUS\result\VT-S730-2169\20260202\952912116\313-957.png,0,0.018915063,11,0.2,0,2026.02.02,11:23
E32191605340T00044072,R440101,219160-5340P,922102-07630730,2,301,934,2,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0952913719\Region00301.png,1,0,0,212,31,172,115,C:\HACARUS\result\VT-S730-2169\20260202\952913719\301-934.png,0,0.00848313,11,0.2,0,2026.02.02,11:50
E32191605340T00043762,C210001,219160-5340P,954103-05680730,1,379,1097,2,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0952914008\Region00379.png,1,0,180,7,51,47,18,C:\HACARUS\result\VT-S730-2169\20260202\952914008\379-1097.png,1,0.999996777,11,0.2,0,2026.02.02,11:54
E32191605340U00037482,R521301,219160-5340P,922152-07620730,1,318,967,2,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0952916040\Region00318.png,1,0,180,7,116,46,31,C:\HACARUS\result\VT-S730-2169\20260202\952916040\318-967.png,0,0.000436048,11,0.2,0,2026.02.02,12:29
E42191605000U00004572,R580101,219160-5000P(U),922753-07630730,1,120,1177,1,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0952918048\Region00120.png,1,0,180,6,114,48,25,C:\HACARUS\result\VT-S730-2169\20260202\952918048\120-1177.png,0,0.169213824,11,0.2,0,2026.02.02,13:02
E32131602730B07277272,R050006,213160-2730P,922101-08080730,2,125,5042,1,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0952921156\Region00125.png,1,0,0,163,23,133,77,C:\HACARUS\result\VT-S730-2169\20260202\952921156\125-5042.png,0,0.003307828,11,0.2,0,2026.02.02,13:55
E32131602730B07278832,R110401,213160-2730P,922103-06920730,1,174,2639,1,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0952921726\Region00174.png,1,0,180,6,118,45,32,C:\HACARUS\result\VT-S730-2169\20260202\952921726\174-2639.png,0,0.000978814,11,0.2,0,2026.02.02,14:03
E32131602730B07279612,C000102,213160-2730P,813100-27780730,1,77,2481,1,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0952921884\Region00077.png,1,0,180,7,218,58,45,C:\HACARUS\result\VT-S730-2169\20260202\952921884\77-2481.png,0,0.000212947,11,0.2,0,2026.02.02,14:06
E32131602730B07278592,R110401,213160-2730P,922103-06920730,1,174,2639,1,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0952922485\Region00174.png,1,0,180,6,118,45,32,C:\HACARUS\result\VT-S730-2169\20260202\952922485\174-2639.png,0,0.064108399,11,0.2,0,2026.02.02,14:16
E32131602730B07289872,R110703,213160-2730P,922R25-07830730,2,350,4912,1,\\172.17.137.213\g$\Images\Inspection\VT-S730-2169\0952922742\Region00350.png,1,0,270,17,7,230,36,C:\HACARUS\result\VT-S730-2169\20260202\952922742\350-4912.png,1,0.787173039,11,0.2,0,2026.02.02,14:21
